"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 02 23:07:07 OMST 2025","Wed Jul 02 23:07:07 OMST 2025","203","","ru.prakticum.OrderCreateTest","","ru.prakticum.OrderCreateTest","orderCreate[Цвет самоката - null]","Создание заказа","Создание заказа с разными вариантами цветов самоката"
"passed","Wed Jul 02 23:07:05 OMST 2025","Wed Jul 02 23:07:05 OMST 2025","286","","ru.prakticum.CourierTest","","ru.prakticum.CourierTest","createCourierWithoutLogin","Создание курьера без логина","Попытка создать курьера без поля login. Создание курьера не удалось"
"passed","Wed Jul 02 23:07:05 OMST 2025","Wed Jul 02 23:07:06 OMST 2025","295","","ru.prakticum.CourierTest","","ru.prakticum.CourierTest","createCourierWithoutPassword","Создание курьера без пароля","Попытка создать курьера без поля пароль. Создание курьера не удалось"
"passed","Wed Jul 02 23:07:07 OMST 2025","Wed Jul 02 23:07:07 OMST 2025","146","","ru.prakticum.OrderCreateTest","","ru.prakticum.OrderCreateTest","orderCreate[Цвет самоката - [GREY]]","Создание заказа","Создание заказа с разными вариантами цветов самоката"
"passed","Wed Jul 02 23:07:06 OMST 2025","Wed Jul 02 23:07:06 OMST 2025","491","","ru.prakticum.OrderCreateTest","","ru.prakticum.OrderCreateTest","orderCreate[Цвет самоката - [BLACK, GREY]]","Создание заказа","Создание заказа с разными вариантами цветов самоката"
"passed","Wed Jul 02 23:07:05 OMST 2025","Wed Jul 02 23:07:05 OMST 2025","131","","ru.prakticum.CourierIdTest","","ru.prakticum.CourierIdTest","loginCourierWithoutPassword","Авторизация без пароля",""
"passed","Wed Jul 02 23:07:07 OMST 2025","Wed Jul 02 23:07:07 OMST 2025","177","","ru.prakticum.OrderCreateTest","","ru.prakticum.OrderCreateTest","orderCreate[Цвет самоката - []]","Создание заказа","Создание заказа с разными вариантами цветов самоката"
"passed","Wed Jul 02 23:07:05 OMST 2025","Wed Jul 02 23:07:05 OMST 2025","131","","ru.prakticum.CourierIdTest","","ru.prakticum.CourierIdTest","loginCourierWithoutLogin","Авторизация без логина",""
"passed","Wed Jul 02 23:07:03 OMST 2025","Wed Jul 02 23:07:04 OMST 2025","1522","","ru.prakticum.CourierIdTest","","ru.prakticum.CourierIdTest","shouldReturnId","Успешная авторизация курьера",""
"passed","Wed Jul 02 23:07:04 OMST 2025","Wed Jul 02 23:07:04 OMST 2025","179","","ru.prakticum.CourierIdTest","","ru.prakticum.CourierIdTest","loginCourierWithWrongPassword","Авторизация с неверным паролем",""
"passed","Wed Jul 02 23:07:07 OMST 2025","Wed Jul 02 23:07:11 OMST 2025","3423","","ru.prakticum.OrderGetListTest","","ru.prakticum.OrderGetListTest","orderGetList","Получение списка заказов","Получение списка заказов, проверка наличия списка"
"passed","Wed Jul 02 23:07:05 OMST 2025","Wed Jul 02 23:07:05 OMST 2025","177","","ru.prakticum.CourierTest","","ru.prakticum.CourierTest","shouldReturnOkTrue","Создание нового курьера","Проверяем, что курьера можно создать с валидными данными"
"passed","Wed Jul 02 23:07:04 OMST 2025","Wed Jul 02 23:07:05 OMST 2025","196","","ru.prakticum.CourierIdTest","","ru.prakticum.CourierIdTest","loginCourierWithNonExistingLogin","Авторизация с несуществующим логином",""
"passed","Wed Jul 02 23:07:06 OMST 2025","Wed Jul 02 23:07:06 OMST 2025","292","","ru.prakticum.CourierTest","","ru.prakticum.CourierTest","createTwoIdenticalCouriers","Создание двух одинаковых курьеров","Попытка создать двух курьеров с одинаковым набором данных. Создание второго курьера должно провалиться"
"passed","Wed Jul 02 23:07:07 OMST 2025","Wed Jul 02 23:07:07 OMST 2025","191","","ru.prakticum.OrderCreateTest","","ru.prakticum.OrderCreateTest","orderCreate[Цвет самоката - [BLACK]]","Создание заказа","Создание заказа с разными вариантами цветов самоката"
